0.57,0.44,0.485,0.5,0.445,0.575,0.5,0.465,0.505,0.525
0.507853,0.356021,0.544503,0.575916,0.589005,0.47644,0.570681,0.267016,0.568063,0.489529
0.584871,0.396679,0.651292,0.662362,0.402214,0.372694,0.405904,0.350554,0.50738,0.557196
0.61755,0.354305,0.620861,0.705298,0.316225,0.387417,0.42053,0.263245,0.427152,0.384106
0.620178,0.363501,0.580119,0.664688,0.367953,0.413947,0.468843,0.22997,0.41543,0.486647
0.614474,0.303947,0.605263,0.6,0.394737,0.423684,0.538158,0.136842,0.413158,0.503947
0.628362,0.248166,0.537897,0.654034,0.347188,0.463325,0.468215,0.211491,0.317848,0.5
0.64959,0.271516,0.523566,0.660861,0.471311,0.473361,0.38832,0.197746,0.260246,0.568648
0.63556,0.294695,0.535363,0.722986,0.413556,0.494106,0.339882,0.188605,0.290766,0.515717
0.678457,0.247588,0.543408,0.71463,0.508842,0.426045,0.331994,0.176045,0.33119,0.511254
0.710489,0.193247,0.481322,0.706897,0.500718,0.44181,0.364224,0.135776,0.288075,0.451149
0.646831,0.19793,0.549806,0.714748,0.533635,0.47542,0.375809,0.155239,0.218629,0.505821
0.698931,0.204869,0.470903,0.700713,0.518409,0.473872,0.348575,0.14905,0.307601,0.407363
0.666842,0.21511,0.43022,0.722455,0.565582,0.439664,0.405561,0.174711,0.264428,0.427072
0.640767,0.221493,0.460141,0.678607,0.577699,0.413219,0.447528,0.209889,0.234107,0.459132
0.600089,0.165036,0.449288,0.72242,0.620552,0.408808,0.487989,0.225979,0.217082,0.529804
0.662898,0.221106,0.461055,0.723199,0.618509,0.355946,0.443049,0.21608,0.261725,0.531407
0.589681,0.239148,0.399263,0.756347,0.671171,0.434889,0.42588,0.246519,0.219492,0.550369
0.623439,0.230713,0.381705,0.74651,0.639603,0.430566,0.475386,0.226672,0.227774,0.524614
0.615203,0.20473,0.416216,0.719257,0.648986,0.441216,0.434797,0.185473,0.253378,0.514527
0.591868,0.190875,0.400372,0.732464,0.699565,0.44103,0.48324,0.210118,0.219429,0.535692
0.596862,0.197345,0.429994,0.773989,0.712432,0.423959,0.461376,0.228425,0.216355,0.529873
0.609518,0.182339,0.399943,0.788131,0.678039,0.411697,0.472764,0.223911,0.248567,0.509748
0.621436,0.18585,0.401531,0.805702,0.655755,0.413411,0.494984,0.216473,0.232841,0.529039
0.578655,0.181841,0.345979,0.793374,0.703338,0.421093,0.522256,0.245068,0.258978,0.538189
0.590156,0.185673,0.356238,0.771442,0.695663,0.405945,0.531676,0.230019,0.251218,0.542641
0.595686,0.164754,0.378155,0.78614,0.720514,0.394676,0.555989,0.238871,0.258605,0.560578
0.599598,0.149497,0.350704,0.830986,0.699598,0.379276,0.555533,0.229376,0.262374,0.561368
0.585135,0.162355,0.378378,0.826641,0.713514,0.405598,0.596332,0.209266,0.225869,0.591699
0.574297,0.16977,0.36966,0.799927,0.715955,0.359985,0.571194,0.200803,0.233114,0.569916
0.580851,0.179787,0.350709,0.828191,0.705319,0.37039,0.588121,0.216844,0.201596,0.569326
