0,0.026732,0.041952,0.041353,0.03626,0.030559,0.025398,0.021027,0.017416,0.014459,0.012042,0.010064,0.0084418,0.0071071,0.0060065,0.0050967,0.0043431,0.0037178,0.0031982,0.0027659,0.0024058,0.0021057,0.0018554,0.0016464,0.001472,0.0013262,0.0012045,0.0011027,0.0010176,0.00094651,0.00088704,0.0008373,0.0007957,0.00076091,0.00073181,0.00070746,0.0006871,0.00067006,0.00065581,0.00064389,0.00063391,0.00062557,0.00061859,0.00061274,0.00060786,0.00060377,0.00060035,0.00059749,0.00059509,0.00059309,0.00059141
0,0.049273,0.041154,0.033211,0.027042,0.022137,0.0182,0.015026,0.012458,0.01037,0.0086676,0.0072732,0.0061273,0.0051828,0.0044023,0.003756,0.0032197,0.002774,0.0024032,0.0020944,0.001837,0.0016223,0.0014431,0.0012935,0.0011685,0.001064,0.00097675,0.00090378,0.00084277,0.00079176,0.0007491,0.00071342,0.00068357,0.00065861,0.00063773,0.00062026,0.00060564,0.00059342,0.00058319,0.00057464,0.00056748,0.00056149,0.00055648,0.00055228,0.00054878,0.00054584,0.00054339,0.00054133,0.00053962,0.00053818,0.00053697
0,0.071288,0.046317,0.033567,0.025997,0.020819,0.016973,0.013988,0.011615,0.0096996,0.0081407,0.0068639,0.0058133,0.0049459,0.0042279,0.0036324,0.0031375,0.0027259,0.002383,0.0020972,0.0018587,0.0016597,0.0014936,0.0013547,0.0012388,0.0011418,0.0010608,0.000993,0.00093633,0.00088894,0.00084931,0.00081616,0.00078843,0.00076523,0.00074583,0.0007296,0.00071602,0.00070466,0.00069515,0.0006872,0.00068055,0.00067498,0.00067032,0.00066643,0.00066317,0.00066044,0.00065816,0.00065625,0.00065465,0.00065331,0.0006522
0,0.088505,0.051604,0.035434,0.026623,0.021009,0.017033,0.01403,0.011675,0.0097878,0.008255,0.0069999,0.0059665,0.0051125,0.0044048,0.0038171,0.0033282,0.0029212,0.0025818,0.0022988,0.0020625,0.0018653,0.0017005,0.0015627,0.0014476,0.0013514,0.0012709,0.0012037,0.0011474,0.0011003,0.001061,0.001028,0.0010005,0.00097744,0.00095816,0.00094203,0.00092854,0.00091725,0.00090781,0.00089991,0.0008933,0.00088777,0.00088314,0.00087927,0.00087603,0.00087332,0.00087105,0.00086915,0.00086757,0.00086624,0.00086513
1,0.099099,0.056165,0.037742,0.027907,0.021834,0.017651,0.014551,0.012147,0.010232,0.0086809,0.0074122,0.0063677,0.0055042,0.004788,0.0041929,0.0036976,0.0032848,0.0029406,0.0026533,0.0024134,0.002213,0.0020455,0.0019055,0.0017885,0.0016907,0.0016088,0.0015404,0.0014832,0.0014353,0.0013952,0.0013617,0.0013337,0.0013103,0.0012906,0.0012742,0.0012605,0.001249,0.0012394,0.0012314,0.0012246,0.001219,0.0012143,0.0012104,0.0012071,0.0012043,0.001202,0.0012001,0.0011985,0.0011971,0.001196
0,0.1027,0.059706,0.040147,0.029539,0.023034,0.018617,0.015384,0.0129,0.010932,0.0093433,0.0080459,0.0069787,0.0060964,0.0053646,0.0047564,0.0042499,0.0038277,0.0034755,0.0031815,0.0029358,0.0027306,0.0025591,0.0024157,0.0022957,0.0021955,0.0021116,0.0020415,0.0019828,0.0019337,0.0018926,0.0018583,0.0018296,0.0018055,0.0017854,0.0017686,0.0017545,0.0017427,0.0017329,0.0017246,0.0017177,0.0017119,0.0017071,0.0017031,0.0016997,0.0016969,0.0016945,0.0016925,0.0016909,0.0016895,0.0016883
0,0.10004,0.062084,0.042477,0.031382,0.024509,0.019858,0.01648,0.013904,0.011873,0.01024,0.00891,0.0078171,0.0069144,0.0061659,0.0055439,0.0050259,0.0045941,0.0042338,0.0039329,0.0036816,0.0034715,0.0032959,0.0031491,0.0030264,0.0029237,0.0028378,0.002766,0.0027059,0.0026556,0.0026136,0.0025784,0.0025489,0.0025243,0.0025037,0.0024865,0.0024721,0.00246,0.0024499,0.0024414,0.0024344,0.0024285,0.0024235,0.0024194,0.0024159,0.002413,0.0024106,0.0024086,0.0024069,0.0024055,0.0024043
0,0.092528,0.063241,0.044616,0.033355,0.02621,0.021353,0.017838,0.015171,0.013081,0.011406,0.010047,0.0089319,0.0080124,0.0072506,0.0066178,0.0060911,0.005652,0.0052857,0.0049798,0.0047242,0.0045106,0.004332,0.0041827,0.0040579,0.0039534,0.0038661,0.003793,0.0037319,0.0036807,0.0036379,0.0036022,0.0035722,0.0035471,0.0035262,0.0035086,0.003494,0.0034817,0.0034714,0.0034628,0.0034556,0.0034496,0.0034446,0.0034404,0.0034369,0.0034339,0.0034314,0.0034294,0.0034277,0.0034262,0.003425
0,0.08181,0.063176,0.046474,0.035401,0.028117,0.023107,0.01948,0.01674,0.014603,0.0129,0.011522,0.010394,0.0094666,0.0086989,0.0080618,0.0075317,0.0070901,0.0067216,0.006414,0.0061571,0.0059423,0.0057628,0.0056127,0.0054871,0.0053821,0.0052943,0.0052208,0.0051593,0.0051079,0.0050649,0.0050289,0.0049988,0.0049736,0.0049525,0.0049349,0.0049201,0.0049078,0.0048974,0.0048888,0.0048815,0.0048755,0.0048704,0.0048662,0.0048627,0.0048597,0.0048572,0.0048551,0.0048534,0.0048519,0.0048507
0,0.069491,0.06194,0.047971,0.037468,0.030215,0.025134,0.021443,0.018663,0.016506,0.014795,0.013416,0.012293,0.01137,0.010608,0.0099758,0.0094507,0.0090134,0.0086487,0.0083444,0.0080902,0.0078778,0.0077002,0.0075517,0.0074276,0.0073237,0.0072368,0.0071642,0.0071034,0.0070525,0.0070099,0.0069743,0.0069445,0.0069196,0.0068988,0.0068813,0.0068667,0.0068545,0.0068443,0.0068357,0.0068286,0.0068226,0.0068176,0.0068134,0.0068099,0.006807,0.0068045,0.0068025,0.0068007,0.0067993,0.0067981
